model,behavioral_dr,load_leveling,load_shifting,peak_clipping,price_based,tou_optimization,valley_filling
ets,-0.078,-1.0,-0.964,-1.0,-0.201,-0.164,-0.038
knn,0.473,0.848,0.616,0.402,0.443,0.45,0.461
linear_regression,0.187,0.354,0.375,-0.104,0.13,0.142,0.175
lstm,0.64,0.889,0.735,0.706,0.624,0.629,0.636
persistence,0.491,-1.0,-0.386,-1.0,0.423,0.447,0.517
random_forest,0.592,0.856,0.691,0.545,0.572,0.577,0.584
seasonal_naive,-0.589,-1.0,-1.0,-1.0,-0.7,-0.665,-0.529
svr,0.327,0.579,0.495,-0.059,0.279,0.291,0.345
