experiment,model,DR,granularity,split,features,MAE,RMSE,R2,R2_std
E1E2,ets,valley_filling,raw,random,env_lags,56.759,83.162,-0.0819,
E1E2,ets,valley_filling,ma3,random,env_lags,46.457,63.106,-0.0001,
E1E2,ets,valley_filling,ma6,random,env_lags,38.364,51.448,0.0606,
E1E2,ets,valley_filling,ma12,random,env_lags,29.479,40.131,0.0967,
E1E2,lstm,valley_filling,raw,random,env_lags,21.66,48.795,0.6267,
E1E2,lstm,valley_filling,ma3,random,env_lags,15.374,28.066,0.8018,
E1E2,lstm,valley_filling,ma6,random,env_lags,12.09,19.58,0.8638,
E1E2,lstm,valley_filling,ma12,random,env_lags,9.437,13.701,0.8945,
E1E2,cnn_lstm,valley_filling,raw,random,env_lags,21.503,48.907,0.6244,0.005
E1E2,cnn_lstm,valley_filling,ma3,random,env_lags,15.099,27.663,0.8074,0.0011
E1E2,cnn_lstm,valley_filling,ma6,random,env_lags,11.789,19.204,0.869,0.0022
E1E2,cnn_lstm,valley_filling,ma12,random,env_lags,9.272,13.423,0.8989,0.0027
E1E2,linear_regression,load_shifting,raw,random,env_lags,27.382,50.122,0.5055,
E1E2,linear_regression,load_shifting,ma3,random,env_lags,20.274,31.678,0.6821,
E1E2,linear_regression,load_shifting,ma6,random,env_lags,16.043,23.543,0.75,
E1E2,linear_regression,load_shifting,ma12,random,env_lags,12.559,17.427,0.7865,
E1E2,random_forest,load_shifting,raw,random,env_lags,20.528,43.414,0.629,
E1E2,random_forest,load_shifting,ma3,random,env_lags,13.98,25.109,0.8003,
E1E2,random_forest,load_shifting,ma6,random,env_lags,10.842,17.57,0.8608,
E1E2,random_forest,load_shifting,ma12,random,env_lags,8.521,12.636,0.8877,
E1E2,svr,load_shifting,raw,random,env_lags,31.514,50.491,0.4982,
E1E2,svr,load_shifting,ma3,random,env_lags,22.975,32.314,0.6692,
E1E2,svr,load_shifting,ma6,random,env_lags,18.394,24.479,0.7297,
E1E2,svr,load_shifting,ma12,random,env_lags,14.344,18.582,0.7572,
E1E2,knn,load_shifting,raw,random,env_lags,27.275,52.187,0.4639,
E1E2,knn,load_shifting,ma3,random,env_lags,18.894,33.283,0.6491,
E1E2,knn,load_shifting,ma6,random,env_lags,14.562,24.056,0.739,
E1E2,knn,load_shifting,ma12,random,env_lags,11.519,17.736,0.7788,
E1E2,gbm,load_shifting,raw,random,env_lags,20.516,43.236,0.632,
E1E2,gbm,load_shifting,ma3,random,env_lags,14.07,24.917,0.8033,
E1E2,gbm,load_shifting,ma6,random,env_lags,10.857,17.477,0.8622,
E1E2,gbm,load_shifting,ma12,random,env_lags,8.53,12.541,0.8894,
E1E2,xgboost,load_shifting,raw,random,env_lags,20.052,42.511,0.6443,
E1E2,xgboost,load_shifting,ma3,random,env_lags,13.744,24.562,0.8089,
E1E2,xgboost,load_shifting,ma6,random,env_lags,10.645,17.2,0.8666,
E1E2,xgboost,load_shifting,ma12,random,env_lags,8.324,12.335,0.893,
E1E2,persistence,load_shifting,raw,random,env_lags,46.722,70.947,0.0092,
E1E2,persistence,load_shifting,ma3,random,env_lags,38.954,50.941,0.1779,
E1E2,persistence,load_shifting,ma6,random,env_lags,33.412,41.942,0.2065,
E1E2,persistence,load_shifting,ma12,random,env_lags,24.949,30.485,0.3465,
E1E2,seasonal_naive,load_shifting,raw,random,env_lags,69.829,106.329,-1.0,
E1E2,seasonal_naive,load_shifting,ma3,random,env_lags,61.166,84.542,-1.0,
E1E2,seasonal_naive,load_shifting,ma6,random,env_lags,54.006,71.74,-1.0,
E1E2,seasonal_naive,load_shifting,ma12,random,env_lags,42.873,56.782,-1.0,
E1E2,ets,load_shifting,raw,random,env_lags,75.397,93.814,-0.7325,
E1E2,ets,load_shifting,ma3,random,env_lags,64.929,77.129,-0.8846,
E1E2,ets,load_shifting,ma6,random,env_lags,54.493,64.47,-0.8748,
E1E2,ets,load_shifting,ma12,random,env_lags,38.74,47.51,-0.5872,
E1E2,lstm,load_shifting,raw,random,env_lags,22.081,44.947,0.6026,
E1E2,lstm,load_shifting,ma3,random,env_lags,15.238,26.031,0.7855,
E1E2,lstm,load_shifting,ma6,random,env_lags,11.628,18.193,0.851,
E1E2,lstm,load_shifting,ma12,random,env_lags,8.741,12.663,0.8875,
E1E2,cnn_lstm,load_shifting,raw,random,env_lags,22.5,44.646,0.6066,0.0098
E1E2,cnn_lstm,load_shifting,ma3,random,env_lags,15.694,25.795,0.7889,0.0072
E1E2,cnn_lstm,load_shifting,ma6,random,env_lags,12.14,18.067,0.8528,0.0069
E1E2,cnn_lstm,load_shifting,ma12,random,env_lags,9.329,12.717,0.8864,0.0109
E1E2,linear_regression,load_leveling,raw,random,env_lags,18.778,33.886,0.6125,
E1E2,linear_regression,load_leveling,ma3,random,env_lags,14.408,21.104,0.7831,
E1E2,linear_regression,load_leveling,ma6,random,env_lags,12.237,16.45,0.8303,
E1E2,linear_regression,load_leveling,ma12,random,env_lags,10.537,13.526,0.8424,
E1E2,random_forest,load_leveling,raw,random,env_lags,15.153,30.894,0.6779,
E1E2,random_forest,load_leveling,ma3,random,env_lags,10.469,17.872,0.8445,
E1E2,random_forest,load_leveling,ma6,random,env_lags,8.299,12.84,0.8966,
E1E2,random_forest,load_leveling,ma12,random,env_lags,6.78,9.615,0.9203,
E1E2,svr,load_leveling,raw,random,env_lags,21.334,34.34,0.6021,
E1E2,svr,load_leveling,ma3,random,env_lags,15.511,21.87,0.7671,
E1E2,svr,load_leveling,ma6,random,env_lags,12.571,16.964,0.8195,
E1E2,svr,load_leveling,ma12,random,env_lags,9.993,13.193,0.85,
E1E2,knn,load_leveling,raw,random,env_lags,18.084,35.794,0.5677,
E1E2,knn,load_leveling,ma3,random,env_lags,12.705,22.492,0.7536,
E1E2,knn,load_leveling,ma6,random,env_lags,9.998,16.278,0.8339,
E1E2,knn,load_leveling,ma12,random,env_lags,8.062,12.113,0.8736,
E1E2,gbm,load_leveling,raw,random,env_lags,15.899,30.811,0.6797,
E1E2,gbm,load_leveling,ma3,random,env_lags,11.309,18.185,0.839,
E1E2,gbm,load_leveling,ma6,random,env_lags,9.138,13.331,0.8886,
E1E2,gbm,load_leveling,ma12,random,env_lags,7.515,10.312,0.9084,
E1E2,xgboost,load_leveling,raw,random,env_lags,15.099,30.226,0.6917,
E1E2,xgboost,load_leveling,ma3,random,env_lags,10.515,17.53,0.8504,
E1E2,xgboost,load_leveling,ma6,random,env_lags,8.185,12.396,0.9036,
E1E2,xgboost,load_leveling,ma12,random,env_lags,6.493,9.102,0.9286,
E1E2,persistence,load_leveling,raw,random,env_lags,30.301,53.845,0.0216,
E1E2,persistence,load_leveling,ma3,random,env_lags,22.484,33.092,0.4668,
E1E2,persistence,load_leveling,ma6,random,env_lags,18.182,24.864,0.6124,
E1E2,persistence,load_leveling,ma12,random,env_lags,13.348,17.527,0.7353,
E1E2,seasonal_naive,load_leveling,raw,random,env_lags,51.128,87.775,-1.0,
E1E2,seasonal_naive,load_leveling,ma3,random,env_lags,43.993,68.427,-1.0,
E1E2,seasonal_naive,load_leveling,ma6,random,env_lags,39.497,58.192,-1.0,
E1E2,seasonal_naive,load_leveling,ma12,random,env_lags,33.707,47.896,-0.9767,
