model,behavioral_dr,load_leveling,load_shifting,peak_clipping,price_based,tou_optimization,valley_filling
ets,66.44,55.03,84.15,44.84,73.13,69.62,67.45
knn,46.89,34.06,47.05,23.5,47.23,47.71,53.26
linear_regression,48.74,35.8,49.31,23.91,50.17,50.06,53.4
lstm,46.54,30.86,47.34,22.19,46.16,46.94,51.96
persistence,63.14,56.28,76.17,60.68,68.03,64.84,62.88
random_forest,45.34,33.47,45.79,20.82,46.04,46.43,51.48
seasonal_naive,82.35,75.36,92.24,70.91,84.38,83.02,84.49
svr,47.82,34.33,49.36,22.16,48.64,48.92,52.44
