model,behavioral_dr,load_leveling,load_shifting,peak_clipping,price_based,tou_optimization,valley_filling
ets,79.63,65.35,93.81,53.07,85.26,82.66,83.16
knn,52.75,35.79,52.19,15.2,53.93,54.05,58.15
linear_regression,47.99,33.89,50.12,17.43,50.59,49.7,52.06
lstm,44.62,30.35,44.95,12.51,46.52,46.12,48.8
persistence,56.66,53.84,70.95,71.78,61.62,58.22,57.46
random_forest,44.71,31.06,43.48,12.63,44.84,45.37,49.12
seasonal_naive,98.41,87.78,106.33,82.58,100.81,99.49,100.87
svr,49.76,34.34,50.49,13.93,52.39,50.85,54.04
