model,behavioral_dr,load_leveling,load_shifting,peak_clipping,price_based,tou_optimization,valley_filling
ets,55.55,50.77,75.4,40.25,62.75,59.14,56.76
knn,26.28,18.08,27.28,11.12,27.53,27.26,26.38
linear_regression,24.1,18.78,27.38,13.66,26.96,25.58,24.98
lstm,21.52,14.9,22.08,9.03,22.97,22.56,21.66
persistence,27.43,30.3,46.72,31.2,33.04,28.92,27.05
random_forest,21.67,15.23,20.56,8.81,21.87,22.22,21.56
seasonal_naive,54.04,51.13,69.83,42.18,58.69,55.75,54.16
svr,29.71,21.33,31.51,10.27,33.6,31.61,30.73
