model,behavioral_dr,load_leveling,load_shifting,peak_clipping,price_based,tou_optimization,valley_filling
ets,-0.166,-0.319,-0.915,-0.869,-0.489,-0.28,0.031
knn,0.419,0.495,0.401,0.486,0.379,0.399,0.396
linear_regression,0.372,0.442,0.343,0.469,0.299,0.338,0.392
lstm,0.426,0.582,0.395,0.541,0.401,0.413,0.421
persistence,-0.053,-0.38,-0.569,-1.0,-0.288,-0.11,0.158
random_forest,0.457,0.512,0.433,0.597,0.41,0.431,0.435
seasonal_naive,-0.791,-1.0,-1.0,-1.0,-0.982,-0.82,-0.521
svr,0.396,0.487,0.341,0.544,0.341,0.368,0.414
