model,behavioral_dr,load_leveling,load_shifting,peak_clipping,price_based,tou_optimization,valley_filling
ets,82.9,61.96,111.63,52.68,85.28,84.65,83.5
knn,57.96,12.02,49.37,25.08,58.06,58.21,60.17
linear_regression,72.01,24.74,62.96,34.07,72.6,72.68,74.46
lstm,47.94,10.26,41.01,17.58,47.74,47.82,49.43
persistence,56.95,74.94,93.78,66.98,59.09,58.37,56.99
random_forest,51.03,11.68,44.28,21.87,50.9,51.04,52.87
seasonal_naive,100.65,86.15,120.24,81.74,101.48,101.25,101.36
svr,65.5,19.98,56.63,33.36,66.08,66.08,66.34
