model,behavioral_dr,load_leveling,load_shifting,peak_clipping,price_based,tou_optimization,valley_filling
ets,48.43,43.82,69.72,35.13,55.66,51.61,48.21
knn,28.79,21.6,29.1,17.14,28.82,29.07,32.32
linear_regression,32.49,24.97,32.7,18.04,33.67,33.31,35.23
lstm,28.98,20.69,30.95,15.48,28.87,29.45,31.73
persistence,37.87,36.58,55.88,34.62,43.59,39.76,36.78
random_forest,27.58,21.57,26.55,14.41,27.97,28.25,31.12
seasonal_naive,48.19,48.3,66.12,41.3,52.97,50.0,49.55
svr,32.54,23.88,34.35,15.64,32.83,33.12,34.88
